# ----------------------------------------
# All Web Site Data
# Overview
# 20181001-20190429
# ----------------------------------------

Device Category,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
12/10/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$40.68,1.45%
12/10/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$38.56,4.00%
12/11/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$474.62,1.16%
12/11/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/11/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$474.62,5.00%
12/12/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$181.66,1.41%
12/12/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$181.66,2.13%
12/12/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/13/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$59.76,1.08%
12/13/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$59.76,1.85%
12/13/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/14/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/14/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/14/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/15/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$72.48,1.15%
12/15/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/15/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$72.48,3.70%
12/16/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$164.04,2.94%
12/16/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$53.40,2.13%
12/16/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$110.64,4.76%
12/17/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/17/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/17/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/18/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$74.60,1.32%
12/18/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
